*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 15, 2018; 17:43:28
                                                                                
*RUN   1        : Sim                       MZCER046 UNME2015    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UNME2015 MZ                                                   
 DATA PATH      :                                                               
 TREATMENT  1   : Sim                       MZCER046                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2015 259   169   138  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 260   170   139  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 261   171   140  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 262   172   141  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 263   173   142  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 264   174   143  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 265   175   144  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 266   176   145  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 267   177   146  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 268   178   147  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 269   179   148  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 270   180   149  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 271   181   150  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 272   182   151  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 273   183   152  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 274   184   153  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 275   185   154  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 276   186   155  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 277   187   156  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
